"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","一分钟仰卧起坐","总分"
"1",161.9,80.1,"肥胖","肺活量良好","50米不及格","立定跳远良好","坐位体前屈不及格","800米及格","仰卧起坐及格",61.8
"2",167.5,59.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",76.7
"3",164.7,56.2,"正常","肺活量不及格","50米不及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐不及格",63.1
"4",156,47.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",64.7
"5",163.4,53.5,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",78.4
"6",160.6,49.5,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐不及格",79.8
"7",159.7,51.3,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",78.9
"8",166.9,54.1,"正常","肺活量及格","50米良好","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",81.6
"9",155.6,49.4,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.4
"10",157.8,72.6,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",69.4
"11",154.1,42.5,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈良好","800米及格","仰卧起坐及格",78.2
"12",151.6,53.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米及格","仰卧起坐及格",76.9
"13",156.4,47.5,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",65.7
"14",153.1,49,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",78
"15",150.7,46.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",76.4
"16",174,60,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",64.8
"17",162.5,50.8,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.5
"18",154.7,51,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.5
"19",159.4,56.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.4
"20",158.5,59.3,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",71.8
"21",153.7,62.5,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",70.8
"22",152.8,45,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","800米优秀","仰卧起坐及格",74.9
"23",156,48.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",76.2
"24",164.7,52.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米优秀","仰卧起坐及格",81.2
"25",157.2,61.5,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",67.3
"26",158.1,51.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",63.2
"27",155,46.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",65.9
"28",166.9,62.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",76.7
"29",157.5,50.3,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",73
"30",150,53,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈良好","800米不及格","仰卧起坐及格",65.2
"31",157.2,53.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76
"32",157.2,44.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.6
"33",160.3,58.1,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",70.5
