"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","引体向上","总分"
"1",178.7,62.5,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","1000米不及格","引体向上不及格",61.9
"2",175,56,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.4
"3",170.5,62.2,"正常","肺活量优秀","50米优秀","立定跳远良好","坐位体前屈及格","1000米良好","引体向上不及格",80.2
"4",166.2,75.9,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",54.3
"5",165.9,69.8,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.8
"6",169.4,66.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",66.7
"7",181.5,72.7,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",59
"8",163.4,90.5,"肥胖","肺活量不及格","50米不及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",34.5
"9",163.4,55.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73.4
"10",167.5,64.7,"正常","肺活量不及格","50米良好","立定跳远及格","坐位体前屈优秀","1000米良好","引体向上不及格",71.3
"11",169.1,94.9,"肥胖","肺活量良好","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",39.8
"12",172.8,88.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",60.6
"13",172.2,64,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",64.5
"14",169.1,52.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",63.8
"15",178.7,76.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.2
"16",180.2,85.5,"超重","肺活量良好","50米及格","立定跳远不及格","坐位体前屈不及格","1000米不及格","引体向上不及格",50.8
"17",166.2,79.5,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈优秀","1000米不及格","引体向上不及格",52.2
"18",167.1,49.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",63.6
"19",170.5,71.8,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",59.9
"20",167.5,54.6,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.4
"21",166.2,64.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",72.7
"22",169.7,52.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",67.9
"23",156.4,45.7,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",49
"24",186.5,81.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",65
"25",170.3,66.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",55.7
"26",173.9,74.4,"超重","肺活量良好","50米优秀","立定跳远及格","坐位体前屈良好","1000米良好","引体向上及格",79.8
"27",175.5,71.3,"正常","肺活量优秀","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.8
"28",167.2,60.9,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",56.1
"29",176.5,68.2,"正常","肺活量优秀","50米优秀","立定跳远优秀","坐位体前屈优秀","1000米良好","引体向上优秀",100.5
"30",191.2,74.6,"正常","肺活量优秀","50米及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",75.7
"31",170.6,60.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.1
"32",163.3,61.9,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",63.4
"33",165.9,67.5,"超重","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.1
"34",180,80,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",61.8
"35",173.7,60.4,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",74.7
"36",171.5,64,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",66.7
"37",170.6,53.9,"正常","肺活量良好","50米优秀","立定跳远良好","坐位体前屈良好","1000米优秀","引体向上及格",87.2
"38",173.1,68.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.3
"39",173.4,77.5,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",60.4
"40",167.5,54.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.7
"41",178.3,86.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",62.7
"42",171.2,57,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.7
"43",176.4,55.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.1
"44",173.9,57.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.7
"45",171.1,74.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",60.5
"46",172,55.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65
"47",180.9,65.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.4
"48",174.7,62.9,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈优秀","1000米良好","引体向上不及格",79.3
"49",170.6,60.7,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",80.9
"50",168.1,56,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上及格",72.5
"51",183,64,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.5
"52",168.7,70.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.4
"53",180.9,68.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",68.9
"54",173.7,72.5,"超重","肺活量优秀","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",71.3
"55",173.7,103.8,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.7
"56",172.8,61,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",67.7
"57",185,84.3,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",63.9
"58",165.2,84,"肥胖","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.1
"59",178.6,65.8,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",69.1
"60",174,59.5,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","1000米及格","引体向上不及格",73.3
"61",161.9,52,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.6
"62",168.7,69,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",65.9
"63",173.6,68.3,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.8
